"Close","Fermer"
"Configure","Configurer"
"Enable","Activer"
"General Configuration","Configuration générale"
"Method","Méthode"
"Pay with Apple Pay","Payer avec Apple Pay"
"Pay with PayPal","Payer avec PayPal"
"Pay with credit card","Payer par carte de crédit"
"Payment Services","Services de paiement"
"Payment Services is your turnkey integrated solution for providing secure payment processing, robust reporting, and optimized online order payments.","Payment Services est votre solution intégrée clé en main pour fournir un traitement des paiements sécurisé, un reporting robuste et des paiements de commande en ligne optimisés."
"Production","Production"
"Production Merchant ID","ID du commerçant de production"
"Recommended Solutions:","Solutions recommandées :"
"Sandbox","Sandbox"
"Sandbox Merchant ID","ID du commerçant Sandbox"
"Secure transaction","Transaction sécurisée"
